,device_brand,5g,internal_memory,ram,battery,price
0,10,0,64.0,3.0,3020.0,26660
1,10,1,128.0,8.0,4300.0,31992
2,10,1,128.0,8.0,4200.0,31682
3,10,1,64.0,6.0,7250.0,31806
4,10,0,64.0,3.0,5000.0,27156
5,10,0,64.0,4.0,4000.0,27342
6,10,0,32.0,2.0,3020.0,23994
7,10,0,64.0,4.0,3400.0,29264
8,10,0,128.0,6.0,4000.0,30256
9,10,0,128.0,6.0,4000.0,29574
10,10,0,64.0,3.0,3020.0,26412
11,10,0,64.0,4.0,5000.0,28830
12,10,1,128.0,8.0,4100.0,33356
13,10,0,64.0,4.0,4000.0,28582
14,10,0,32.0,2.0,3020.0,25482
15,10,0,64.0,4.0,4000.0,27342
16,10,0,128.0,6.0,3750.0,31124
17,10,0,64.0,4.0,4000.0,29574
18,10,0,32.0,2.0,3020.0,26288
19,10,0,32.0,3.0,5100.0,26412
20,10,0,32.0,3.0,5100.0,28210
21,11,0,16.0,1.0,5680.0,27590
22,11,0,32.0,3.0,3850.0,28272
23,11,0,64.0,4.0,3075.0,28458
24,11,0,32.0,3.0,3300.0,27404
25,11,0,128.0,6.0,3930.0,32302
26,11,0,64.0,4.0,3850.0,28706
27,11,1,128.0,6.0,4000.0,30380
28,11,1,64.0,6.0,4000.0,29884
29,11,0,128.0,4.0,4000.0,28334
30,11,0,128.0,4.0,4000.0,30194
31,11,0,16.0,2.0,5100.0,25854
32,11,1,128.0,8.0,4000.0,29140
33,11,0,64.0,4.0,7250.0,31806
34,11,1,256.0,8.0,4200.0,38130
35,11,0,64.0,4.0,4000.0,28768
36,11,1,128.0,6.0,7250.0,32116
37,11,0,64.0,4.0,4000.0,26784
38,11,0,128.0,6.0,4000.0,31372
39,11,0,128.0,8.0,4200.0,30566
40,11,0,128.0,6.0,7250.0,30938
41,11,0,64.0,6.0,4000.0,30938
42,11,0,64.0,6.0,4000.0,28086
43,11,0,64.0,4.0,4000.0,29140
44,11,1,512.0,12.0,4500.0,35154
45,11,1,128.0,6.0,4200.0,33356
46,11,0,128.0,6.0,4200.0,31062
47,11,0,128.0,6.0,4000.0,31868
48,11,0,128.0,4.0,4000.0,29946
49,11,0,64.0,4.0,7500.0,30566
50,11,0,128.0,6.0,6100.0,32798
51,11,0,64.0,4.0,6100.0,31000
52,11,0,128.0,8.0,3500.0,33604
53,11,0,128.0,8.0,3500.0,33294
54,11,0,128.0,6.0,4000.0,31310
55,11,0,64.0,4.0,4000.0,31248
56,11,0,64.0,4.0,4000.0,28520
57,11,0,16.0,4.0,1700.0,22134
58,11,0,8.0,1.0,4100.0,24676
59,11,0,32.0,2.0,6000.0,26536
60,11,0,64.0,4.0,5000.0,27032
61,11,0,32.0,2.0,5000.0,25916
62,11,0,32.0,3.0,4000.0,28210
63,11,0,32.0,2.0,4000.0,27342
64,11,0,32.0,2.0,3200.0,24676
65,11,0,8.0,0.5,3000.0,21638
66,11,0,32.0,3.0,7000.0,29264
67,11,0,64.0,4.0,7000.0,32302
68,11,0,16.0,2.0,4000.0,24428
69,11,0,16.0,2.0,5100.0,29574
70,11,0,16.0,2.0,5000.0,27652
71,11,0,32.0,1.0,3590.0,24118
72,11,0,64.0,6.0,4000.0,27404
73,11,1,128.0,6.0,4000.0,33108
74,11,0,64.0,4.0,4050.0,28954
75,11,0,16.0,2.0,8400.0,31310
76,11,0,64.0,4.0,4000.0,30194
77,11,0,64.0,3.0,4000.0,26970
78,11,0,8.0,1.0,1470.0,23994
79,11,1,128.0,8.0,5000.0,29326
80,11,1,128.0,8.0,5000.0,33914
81,11,0,32.0,3.0,4000.0,28706
82,11,0,32.0,3.0,3450.0,26226
83,11,0,32.0,4.0,8200.0,29140
84,11,1,256.0,8.0,4000.0,33852
85,11,0,64.0,4.0,4000.0,29078
86,11,0,16.0,2.0,3000.0,26350
87,11,0,16.0,1.0,3000.0,25296
88,11,0,32.0,2.0,3500.0,28768
89,11,0,32.0,3.0,4000.0,28210
90,11,0,64.0,4.0,4050.0,27652
91,11,0,32.0,3.0,4000.0,28396
92,11,0,32.0,3.0,4000.0,27094
93,11,0,32.0,3.0,3500.0,27962
94,11,0,64.0,4.0,3300.0,30256
95,11,0,16.0,2.0,4500.0,26970
96,11,0,4.0,0.5,1540.0,18724
97,11,1,128.0,8.0,4500.0,31992
98,11,0,128.0,6.0,4500.0,28892
99,11,0,32.0,2.0,4000.0,26598
100,11,0,128.0,6.0,3600.0,29264
101,11,0,64.0,6.0,4000.0,30008
102,11,0,128.0,6.0,3600.0,30690
103,11,0,0.5,0.25,1500.0,18848
